Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Operating Status,Full Description,Last Funding Type,Headquarters Location,Headquarters Regions,Description,Founded Date,Founded Date Precision,Industry Groups,Industries,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Top 5 Investors,IPO Status,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Website,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Investment Stage,Investor Type,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Number of Alumni,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Acquisition Status,Number of Acquisitions,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,CB Rank (Organization),CB Rank (Company),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies,Contact Job Departments,Number of Contacts,Number of Private Contacts,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags
Halcyon,https://www.crunchbase.com/organization/halcyon-d8cf,20000000,USD,20000000,Active,"OUR MISSION: DEFEAT RANSOMWARE Modern defensive cyber solutions, while impressive, have failed in the face of cheap and easy-to-create – and most importantly lucrative – ransomware. High-profile breaches are disguising an ugly fact; the companies using next-generation NGAV and EPP solutions continue to be impacted by ransomware Halcyon has built the first anti-ransomware engine to tackle this problem. Our team has spent decades building name-brand security products and delivering security consulting to much of the Fortune 500. Split between San Diego, CA and Austin, TX, Halcyon was formed in 2021 by a team of cyber industry veterans after battling the scourge of ransomware (and advanced threats) for years at some of the largest security global security vendors. Comprised of leaders from Cylance (now Blackberry), Accuvant (now Optiv), and ISS X-Force (now IBM), Halcyon is focused on building products and solutions for mid-market and enterprise customers. For more info, please contact: press@halcyon.ai",Seed,"Austin, Texas, United States",Southern US,Halcyon is a cybersecurity business that develops technology to protect enterprise client's systems from the threat of ransomware.,2020-01-01,year,"Consumer Electronics, Hardware, Information Technology, Privacy and Security, Software","Computer, Cyber Security, Network Security, Software",2021-05-01,20000000,USD,20000000,20000000,USD,20000000,"Founders Fund, Corner Ventures, Gula Tech Adventures, SYN Ventures",Private,,,,http://www.halcyon.ai,,,,,,,For Profit,https://twitter.com/HalcyonAi,,https://www.linkedin.com/company/halcyonai,,,,,,,,,,,,,,,,,,,,,,,2,"Jon Miller, Ryan Smith",51-100,1,Seed,20000000,USD,20000000,Seed,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,"9,474","9,446",,0.1,2.7,4.9,12,"Engineering, Management, Medical & Science, Pro Services, Sales",21,,"2,069","6,091",-72.99%,21,250%,2,33.33%,0%,634.21%,"4,634,420","2,353,480",103.18%,19,,,,0,0,,Scientific and technological services,,,,,
Climax Foods,https://www.crunchbase.com/organization/climax-foods,7500000,USD,7500000,Active,"Climax Foods is a data science company innovating the future of food. It has developed sophisticated machine intelligence tools to unlock smarter paths from plants to products, creating a new generation of plant-based foods that will out-compete animal-based predecessors.",Seed,"Berkeley, California, United States","San Francisco Bay Area, West Coast, Western US",Climax Foods provides develops machine intelligence animal-based predecessors.,2019-01-01,year,"Artificial Intelligence, Biotechnology, Data and Analytics, Food and Beverage, Science and Engineering, Software, Sustainability","Biotechnology, Food and Beverage, Food Processing, Machine Learning, Sustainability",2020-09-01,7500000,USD,7500000,7500000,USD,7500000,"S2G Ventures, Valor Equity Partners, Hummingbird Ventures, Global Founders Capital, Index Ventures",Private,,,,https://www.climaxfoods.com/,,$1M to $10M,,,,,For Profit,https://twitter.com/ClimaxFoods,https://www.facebook.com/ClimaxCheese/,https://www.linkedin.com/company/climaxfoods/,hello@climaxfoods.com,,5,,,,,,,,,,,,,,,,,,,,1,Oliver Zahn,1-10,1,Seed,7500000,USD,7500000,Seed,,11,,,,,,,,,,,,,,,,,,,,,,,,,,"9,481","9,453",,1.4,0.2,3.9,156,"Management, Operations",5,,,,,,,,,,,,,,9,,,,0,0,,Scientific and electric apparatus and instruments,,,,,
Netography,https://www.crunchbase.com/organization/netography-com,47600000,USD,47600000,Active,"Netography® has created the first network-centric platform that reconstitutes capabilities disrupted by the combined impact of encryption and Atomized Networks across the security world. Enterprises have become functionally blind to the composition and activities of their networks, resulting in increased dwell time and more attackers leveraging the gaps between the capabilities of an organization’s other tools and the siloed operations teams who operate them. Netography Fusion® is for enterprise security operations center (SOC) and cloud operations teams that need scalable, continuous network visibility across the Atomized Network – legacy, on-premises, hybrid, multi-cloud, and edge environments. With the Netography Fusion platform, these teams gain visibility and control of network traffic and context across users, applications, data, and devices, to see what they are, what they are doing, and what’s happening to them. Netography is the only company that delivers Security for the Atomized Network®. Based in Annapolis, MD, Netography is backed by some of the world’s leading venture firms, including Bessemer Venture Partners, SYN Ventures, A16Z, and more. For more information, visit netography.com.",Series A,"Annapolis, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",Netography provides Security for the Atomized Network.,2018-09-01,month,"Information Technology, Privacy and Security, Software","Cloud Security, Cyber Security, Information Technology, Network Security, SaaS, Security",2021-11-15,45000000,USD,45000000,47600000,USD,47600000,"Andreessen Horowitz, Bessemer Venture Partners, Wing Venture Capital, Harpoon, Mango Capital",Private,,,,https://netography.com,,,,,,,For Profit,https://twitter.com/netography,https://www.facebook.com/netography.inc,https://www.linkedin.com/company/netography,netography@netography.com,+1 (410) 705-4161,21,,,,,,,,,,,,,,,,,,,,2,"Barrett Lyon, Dan Murphy",11-50,2,Early Stage Venture,45000000,USD,45000000,Series A,3,6,,,,,,,,,,,,,,,,,,,,,,,2021-09-20,,,"9,482","9,454",,0,-0.1,1.5,10,"Engineering, Information Technology, Management, Marketing, Operations, Product, Sales",16,,"8,696","5,871",17.83%,68,-28.42%,1.78,-29.83%,44.74%,-30.45%,"2,090,877","-258,990",-11.02%,63,,,,1,9,Electric Communication Technique,Scientific and technological services,,,,,
Care.ai,https://www.crunchbase.com/organization/care-ai,27000000,USD,27000000,Active,"Care.ai is an AI-powered ambient monitoring platform that delivers real-time behavior data for clinical and operational insights. The company constantly monitors clinical and operational workflows and learns from them to predict, prevent and protect in real-time, optimizing the patient and provider experience and ultimately powering more human care.  Powered by AI-enabled edge sensors, the platform surfaces real-time inferences and insights to alert and report on activities that help healthcare organizations improve quality, safety, and compliance while optimizing the clinical workforce. Care.ai was founded in 2018 and is based in Orlando, Florida.",Venture - Series Unknown,"Orlando, Florida, United States","East Coast, Southern US",Care.ai is an AI-powered ambient monitoring platform that delivers real-time behavior data for clinical and operational insights.,2018-09-26,day,"Artificial Intelligence, Data and Analytics, Health Care, Other, Science and Engineering, Software","Artificial Intelligence, Health Care, Medical Device, Real Time, Software",2022-11-21,27000000,USD,27000000,27000000,USD,27000000,Crescent Cove Advisors,Private,,,,https://care.ai,,,,,,,For Profit,https://twitter.com/caredotai,https://www.facebook.com/caredotai,https://www.linkedin.com/company/careai,hello@care.ai,888-918-0377,9,,,,,,,,,,,,,,,,,,,,1,Chakri Toleti,101-250,1,,27000000,USD,27000000,Venture - Series Unknown,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"9,485","9,457",,1.2,-0.6,-3.9,9,"Engineering, Information Technology, Management, Marketing, Medical & Science, Operations, Pro Services, Sales",35,,"4,054","225,427.83",-84.25%,0,-67.83%,1,0%,100%,0%,"3,315,494","2,194,074",195.65%,49,1,,7,,,,,,,,,
HALO Diagnostics,https://www.crunchbase.com/organization/halo-diagnostics,19000000,USD,19000000,Active,"At HALO Diagnostics (HALO Dx), we recognize every patient is unique. Our focus is early detection and precision-focused healthcare, preventing, and conquering diseases that have a geometric impact on patient outcomes. We accomplish this with a personalized diagnostic ensemble including advanced imaging, genomics, non-invasive liquid biomarker tests, and community-based data at scale combined with deep learning algorithms. By optimizing these solutions under the HALO Dx platform, we provide precise, actionable results to enable life-changing treatments by physicians for their patients.",Series B,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","At HALO Diagnostics, our focus is saving lives through early detection with precision diagnostics, preventing and conquering diseases.",2019-01-01,year,"Health Care, Science and Engineering, Software","Clinical Trials, Enterprise Software, Health Care, Health Diagnostics, Hospital, Medical Device, Software Engineering",2021-03-04,19000000,USD,19000000,19000000,USD,19000000,"Anne Wojcicki, Raptor Group, Toba Capital, James Pallotta, Zola Global Investors",Private,,,,https://www.halodx.com/,,,,,,,For Profit,,https://www.facebook.com/HaloDx,https://www.linkedin.com/company/halo-dx/,contact@halodx.com,,,,,,,,,,,,,,,,,,,,,,2,"Brian Axe, Michael Uhl",251-500,1,Early Stage Venture,19000000,USD,19000000,Series B,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,"9,496","9,468",,-0.3,-0.1,-0.1,10,"Engineering, Finance, Human Resources, Legal, Management, Marketing, Medical & Science, Operations, Product, Sales",47,,"11,491","41,038.83",-89.7%,548,-70.57%,3.18,-69.41%,67.47%,43.34%,"1,747,446","1,365,207",357.16%,47,,,25,,,,,,,,,
Zilla Security,https://www.crunchbase.com/organization/zilla-security,18625000,USD,18625000,Active,"Zilla Security is an early-stage security startup that provides a software-as-a-service security management platform.  It was founded in 2019 and is headquartered in Boston, Massachusetts.",Series A,"Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",Zilla Security is an early-stage security startup that provides software-as-a-service security management platform.,2019-01-01,year,"Information Technology, Privacy and Security, Software","Information Technology, SaaS, Security, Software",2022-08-31,13500000,USD,13500000,18625000,USD,18625000,"FirstMark, Pillar VC, Tola Capital",Private,,,,https://zillasecurity.com/,,,,,,,For Profit,,,https://www.linkedin.com/company/zillasecurity,,,1,,,,,,,,,,,,,,,,,,,,2,"Deepak Taneja, Nitin Sonawane",1-10,4,Early Stage Venture,13500000,USD,13500000,Series A,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,"9,508","9,480",,0,1.1,2.9,17,"Engineering, Management, Marketing, Operations, Sales",13,,"10,658",,77.54%,227,980.95%,2.07,31.26%,62.57%,46.88%,"1,824,416","-902,979",-33.11%,67,,,,,,,,,,,,
Monaverse,https://www.crunchbase.com/organization/mona-gallery-inc,16600000,USD,16600000,Active,"Mona’s mission is to empower people around the world to create, collect, and share high quality immersive experiences on the blockchain, growing the Open Metaverse. Mona is the medium of the metaverse.",Series A,"Miami, Florida, United States","Greater Miami Area, East Coast, Southern US","Mona is the premier web3 metaverse world building platform and social network built for creators, by creators.",2021-06-14,day,"Financial Services, Hardware, Media and Entertainment, Other, Payments, Software","3D Technology, Art, Augmented Reality, Blockchain, Cryptocurrency, Ethereum, Software, Virtual Reality",2022-06-30,14600000,USD,14600000,16600000,USD,16600000,"Protocol Labs, Gaingels, Everyrealm, POAP, LongHash Ventures",Private,,,,http://monaverse.com,,,,,,,For Profit,https://twitter.com/monaverse,,https://www.linkedin.com/company/monaverse,justin@monaverse.com,,,,,,,,,,,,,,,,,,,,,,2,"Justin Melillo, Matthew Hoerl",11-50,2,Early Stage Venture,14600000,USD,14600000,Series A,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,"9,520","9,492",,0,-0.2,-0.2,9,Management,1,,"52,882","106,239.5",28.27%,258,16.22%,1.15,-26.23%,88.16%,38.23%,"639,856","-142,415",-18.21%,37,,,,,,,,,,,,
Orbit Fab,https://www.crunchbase.com/organization/orbit-fab,13667713,USD,13667713,Active,"Orbit Fab offers a supply of satellite propellant in Earth Orbit that expands the operational potential of new and existing space assets. It develops the infrastructure needed to grow a thriving in-space market for products and services that support both existing space businesses (communications and Earth observation) and new industries like space tourism, manufacturing, and mining. The future for satellites is no longer restricted to the fuel they are launched with.  Orbit Fab was founded in 2018 by its Co-Founders Daniel Faber and Jeremy Schiel.",Series A,"Lafayette, Colorado, United States","Greater Denver Area, Western US",Orbit Fab is a supplier of tankers and other infrastructure needed for in-space refueling of satellites.,2018-01-01,year,"Manufacturing, Other, Science and Engineering, Transportation","Aerospace, Infrastructure, Manufacturing, Space Travel",2022-10-25,,,,13420000,USD,13420000,"Techstars, National Science Foundation, Northrop Grumman, Tribe Capital, Lockheed Martin Ventures",Private,,,,https://www.orbitfab.com,,$1M to $10M,,,,,For Profit,https://twitter.com/OrbitFab,https://www.facebook.com/OrbitFab,https://www.linkedin.com/company/orbitfab,info@orbitfab.space,650-691-3130,69,,,,,,,,,,,,,,,,,,,,2,"Daniel Faber, Jeremy Schiel",51-100,9,Early Stage Venture,,,,Series A,6,22,,,,,,,,,,,,,,,,,,,,,,,,,,"9,522","9,494",,0,-0.1,-0.6,12,"Engineering, Finance, Management, Operations, Product, Sales",21,,"3,654","10,443.33",-84.04%,18,-96.74%,1.42,-44.53%,57.85%,15.7%,"3,537,236","2,315,718",189.58%,5,,,,5,0,Aircraft; Aviation; Cosmonautics,Industrial oils and greases; lubricants; fuels,,,,,
Heru,https://www.crunchbase.com/organization/heru-inc,32700000,USD,32700000,Active,"Heru Inc. (www.SeeHeru.com) has developed patented autonomous AI-powered vision diagnostics and augmentation software for use on commercially available AR/VR devices. This technology exceeds traditional standards of care in clinical equivalence, usability, cost, size, and portability. Heru is the only cross-platform solution that can autonomously diagnose vision defects and customize individual vision augmentation based on the user’s unique vision defects.   Heru originated as a spinout from Bascom Palmer Eye Institute. In December 2020, Heru announced FDA registration and a seed round led by Fred Drasner, Maurice R. Ferre, M.D., Fred H. Moll, M.D., and a consortium of investors with extensive experience developing, launching, and scaling cutting-edge medical technologies.",Series A,"Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",Heru develops patented autonomous AI-powered vision diagnostics and augmentation software for use on commercially available AR/VR devices.,2018-01-01,year,"Artificial Intelligence, Data and Analytics, Hardware, Health Care, Science and Engineering, Software","Artificial Intelligence, Augmented Reality, Health Diagnostics, Medical Device, Software, Virtual Reality",2021-05-20,30000000,USD,30000000,32700000,USD,32700000,"D1 Capital Partners, SB Opportunity Fund, Fred Moll, M.D, Krillion Ventures, Maurice Ferre, M.D.",Private,,,,https://www.seeheru.com/,,,,,,,For Profit,,,https://www.linkedin.com/company/64700047/admin/,help@seeheru.com,1-800-601-5061,13,,,,,,,,,,,,,,,,,,,,1,Mohamed Abou Shousha,11-50,2,Early Stage Venture,30000000,USD,30000000,Series A,1,5,,,,,,,,,,,,,,,,,,,,,,,2022-03-02,,,"9,527","9,499",,-0.1,0.4,1.6,6,"Engineering, Finance, Management, Marketing, Operations, Sales",18,,898,"5,071.67",-80.47%,2,566.67%,1.08,8.02%,91.98%,-8.02%,"6,550,088","3,423,429",109.49%,47,,,,0,4,,Medical services; veterinary services,,,,,
Black Sheep Foods,https://www.crunchbase.com/organization/black-sheep-foods,17750000,USD,17750000,Active,"Black Sheep Foods is a plant-based meat company using technology and analytical chemistry to create a delicious lamb alternative that is better for the environment and their health. The company's products are a plant-based alternative to ground lamb and are made using analytical chemistry from soy protein, coconut oil, and natural flavors, enabling consumers to reduce carbon footprint by opting for the lamb alternative which is also cheap and tastes the same.",Series A,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Black Sheep Foods is a plant-based meat company that produces animal meats for the lamb alternative.,2019-06-26,day,"Food and Beverage, Health Care","Food and Beverage, Nutrition, Organic Food",2022-12-08,12300000,USD,12300000,17750000,USD,17750000,"Big Idea Ventures, AgFunder, Bessemer Venture Partners, Siddhi Capital, KBW Ventures",Private,,,,https://www.blacksheepfoods.com,,$1M to $10M,,,,,For Profit,https://twitter.com/blcksheepfoods_,https://www.facebook.com/blcksheepfoods,https://www.linkedin.com/company/black-sheep-foods,hello@blacksheepfoods.com,,6,,,,,,,,,,,,,,,,,,,,2,"Ismael Montanez, Sunny Kumar",11-50,3,Early Stage Venture,12300000,USD,12300000,Series A,3,10,,,,,,,,,,,,,,,,,,,,,,,,,1,"9,529","9,501",,0.4,1.8,-3.5,9,"Operations, Sales",2,,"6,198","4,508",66.61%,266,"1,100%",1.85,84.66%,46.35%,-53.65%,"2,545,775","-1,033,410",-28.87%,36,,,,0,2,,Meats and prepared or preserved foods; dairy products,,,,,
Sprinter Health,https://www.crunchbase.com/organization/sprinter-health,37600000,USD,37600000,Active,Sprinter Health is an on-demand mobile health company that sends full-time nurses and phlebotomists (“Sprinters”) into the home.,Series A,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Sprinter Health is an on-demand mobile health company that sends full-time nurses and phlebotomists (“Sprinters”) into the home.,2021-01-01,month,Health Care,"Health Care, Medical",2021-10-13,33000000,USD,33000000,37600000,USD,37600000,"Andreessen Horowitz, General Catalyst, Google Ventures, Accel, Kevin Lin",Private,,,,https://www.sprinterhealth.com/,,,,,,,For Profit,https://twitter.com/sprinterhealth,https://www.facebook.com/SprinterHealth,https://www.linkedin.com/company/sprinter-health/,,,5,,,,,,,,,,,,,,,,,,,,2,"Cameron Behar, Max Cohen",11-50,2,Early Stage Venture,33000000,USD,33000000,Series A,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,"9,530","9,502",,0.5,1.7,-0.4,8,"Finance, Management, Operations, Sales",7,,"4,754",,2.72%,0,,1,-59.94%,100%,145.88%,"3,081,257","-35,492",-1.14%,33,,,,0,3,,Medical services; veterinary services,,,,,
Locket Labs,https://www.crunchbase.com/organization/locket-labs,12500000,USD,12500000,Active,Locket Labs is a popular app for sharing photos straight to your family and friends’ home screens.,Seed,"Venice, California, United States","Greater Los Angeles Area, West Coast, Western US",Locket Labs is a popular app for sharing photos straight to your family and friends’ home screens.,2022-01-01,year,Internet Services,Social Network,2022-04-21,10000000,USD,10000000,12500000,USD,12500000,"Sam Altman, Costanoa Ventures, Mike Krieger, Sugar Capital, Adam D’Angelo",Private,,,,https://apps.apple.com/app/id1600525061,,,,,,,For Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Seed,10000000,USD,10000000,Seed,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,"9,535","9,507",,0.3,-0.2,4.8,9,,,,,,,,,,,,,,,,,1,"1,470,893",,,,,,,,,,
Britive,https://www.crunchbase.com/organization/britive,15400000,USD,15400000,Active,"Our solution is cloud-native, delivering multi-cloud privileged access visibility, policy enforcement, and threat monitoring all in one platform. ​ Britive significantly increases operational efficiency by instant provisioning of cloud privileges to users and making them productive from day one.",Series A,"Glendale, California, United States","Greater Los Angeles Area, West Coast, Western US",Britive delivers complete privileged access protection for the cloud.,2018-07-01,month,"Information Technology, Privacy and Security, Software","Cloud Security, Cyber Security, Identity Management, Software",2021-05-19,10000000,USD,10000000,15400000,USD,15400000,"Upfront Ventures, One Way Ventures, Crosslink Capital, SmartGateVC",Private,,,,https://www.britive.com/,,,,,,,For Profit,https://twitter.com/britive1,,https://www.linkedin.com/company/britive/about/,contact@britive.com,,11,,,,,,,,,,,,,,,,,,,,2,"Alex Gudanis, Artyom Poghosyan",11-50,2,Early Stage Venture,10000000,USD,10000000,Series A,2,4,,,,,,,,,,,,,,,,,,,,,,,,,2,"9,550","9,522",,-0.1,3.4,4.2,7,"Engineering, Management, Marketing, Operations, Sales",21,,"5,575","6,667.5",-12.55%,6,"2,079.73%",1.19,19.35%,80.64%,-19.36%,"2,722,032","100,705",3.84%,63,,,,,,,,,,,,
TrustLayer,https://www.crunchbase.com/organization/trustlayer,21700000,USD,21700000,Active,"TrustLayer is an insurtech solutions company that automates insurance verification with machine learning & AI and provides real-time updates on the R3 Corda distributed ledger ecosystem. TrustLayer helps companies eliminate error-prone, manual processes and streamline existing workflows to increase insurance compliance and decrease organizational risk. Customers in multiple billion-dollar industries such as construction and property management rely on TrustLayer for its ease of use, tracking and verifying certificates of insurance and other business documents, increased vendor compliance, and the ability to utilize their platform for multiple use cases.",Series A,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",TrustLayer is an insurtech company automating insurance verification with machine learning and AI.,2018-01-01,month,"Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software","Artificial Intelligence, Insurance, InsurTech, Machine Learning",2021-08-17,15100000,USD,15100000,21700000,USD,21700000,"Creative Destruction Lab (CDL), Precursor Ventures, Holmes Murphy & Associates, BoxGroup, Abstract Ventures",Private,,,,https://trustlayer.io/,,Less than $1M,,,,,For Profit,https://twitter.com/TrustLayerIO,https://www.facebook.com/trustlayerio/,https://www.linkedin.com/company/trustlayer/,info@trustlayer.io,(415) 358-1199,22,,,,,,,,,,,,,,,,,,,,2,"John Fohr, Vincenzo Acinapura",11-50,2,Early Stage Venture,15100000,USD,15100000,Series A,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,"9,556","9,528",,-0.3,-0.1,3.4,11,"Engineering, Human Resources, Information Technology, Management, Marketing, Operations, Pro Services, Product, Sales",21,,"12,108","11,115.5",4.75%,851,156.33%,2.79,114.65%,46.51%,-41.86%,"1,699,648","-92,407",-5.16%,108,,,23,,,,,,,,,
Koala Health,https://www.crunchbase.com/organization/koala-health,20000000,USD,20000000,Active,"Koala Health provides medications and health products for pet needs. The company packages them by date and time to make pet care simpler. The company was founded in 2021 and is headquartered in Boston, Massachusetts, United States.",Series A,"Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",Koala Health provides medications and health products for pet needs.,2021-11-01,month,"Community and Lifestyle, Consumer Goods, Health Care","Consumer Goods, Health Care, Pet",2022-10-05,20000000,USD,20000000,20000000,USD,20000000,"Menlo Ventures, First Round Capital, Operator Partners, BoxGroup, Ethos Family Office",Private,,,,https://www.koala.health/,,,,,,,For Profit,https://twitter.com/koalaforpets,https://www.facebook.com/KoalaHealth/,https://www.linkedin.com/company/koala-health/,hello@koala.health,866-445-6252,,,,,,,,,,,,,,,,,,,,,1,Gavin Cotter,11-50,1,Early Stage Venture,20000000,USD,20000000,Series A,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,"9,582","9,554",,0.2,1.1,2.1,9,"Finance, Human Resources, Management, Product",5,,,,,,,,,,,,,,20,1,,,,,,,,,,,
OpenComp,https://www.crunchbase.com/organization/opencomp,24600000,USD,24600000,Active,"OpenComp empowers high-growth companies to confidently make the best business decisions with compensation intelligence. More than 2,000 companies use OpenComp to attract and empower top talent in fair, consistent ways, including Calm, DataRobot, Discord, DrChrono, Figma, Medium, Mosaic, Mux, and Reddit.    Founded in 2021 by Thanh Nguyen and Nancy Connery, Salesforce’s founding HR team, OpenComp has raised $24 million in venture capital from J.P. Morgan, TIME Ventures (the investment fund for Marc Benioff), 8VC and more.   OpenComp is available for free for organizations up to 50 employees, with tiered pricing and services for other organizations based on size and needs.",Series A,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Helping thousands of the world's fastest-growing companies grow faster and smarter, while paying fairly.",2021-01-01,month,"Data and Analytics, Financial Services, Information Technology, Software","Analytics, FinTech, Management Information Systems, SaaS, Software",2022-02-24,20000000,USD,20000000,24600000,USD,24600000,"8VC, Alumni Ventures, JP Morgan, Time Ventures, Circle Ventures",Private,,,,https://www.opencomp.com/,"Southeast Asian Founded, Women Founded",$1M to $10M,,,,,For Profit,https://twitter.com/opencomp,https://www.facebook.com/OpenCompLLC,https://www.linkedin.com/company/opencomp-llc/,social@opencomp.com,,5,,,,,,,,,,,,,,,,,,,,2,"Nancy Connery, Thanh Nguyen",51-100,2,Early Stage Venture,20000000,USD,20000000,Series A,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,"9,583","9,555",,0.6,0.2,-0.1,8,"Engineering, Management, Marketing, Operations, Pro Services, Product",16,,"11,492","9,422.83",45.89%,173,-32.16%,1.93,-13.1%,41.33%,-7%,"1,747,368","-487,387",-21.81%,68,,,,,,,,,,,,
Sabanto,https://www.crunchbase.com/organization/sabanto,22200000,USD,22200000,Active,"Sabanto provides a Farming-as-a-Service tool to accelerate autonomy in agricultural machinery. Sabanto's core competency revolves around low-cost retrofits of existing agriculture machinery regardless of make or model, along with the development of supporting software to improve the utility of autonomous technology, thereby increasing producer ROI. Sabanto creates simple and cost-effective technologies that advance the future of agriculture.",Series A,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Sabanto provides a Farming-as-a-Service tool to accelerate autonomy in agricultural machinery.,2018-10-31,day,"Agriculture and Farming, Hardware, Manufacturing, Science and Engineering, Software, Transportation","Agriculture, Autonomous Vehicles, Hardware, Industrial Automation, Robotics, Software",2022-07-01,17000000,USD,17000000,19200000,USD,19200000,"BioCrossroads, DCVC Bio, Cavallo Ventures, Yara Growth Ventures, SK Networks",Private,,,,https://sabantoag.com,,,,,,,For Profit,https://twitter.com/SabantoAg,https://www.facebook.com/SabantoAg,https://www.linkedin.com/company/sabanto,ruppinator@sabantoag.com,,12,,,,,,,,,,,,,,,,,,,,1,Craig Rupp,11-50,5,Early Stage Venture,17000000,USD,17000000,Series A,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,"9,587","9,559",,-0.9,-0.1,-1,10,"Engineering, Finance, Management, Medical & Science",13,,"3,394",,"1,001.95%",330,,1.5,50%,50%,-50%,"3,672,770","-4,865,537",-56.98%,39,2,0,,,,,,,,,,
